M,MaxLayer,EFC,EFS,HammingThreshold,Recall,DistOpsPerQuery,BuildTime_ms,QPS,AvgQueryTime_ms,Reward
32,7,1300,256,50,0.95987,11598.9273,3901.565803,986.258278,1.013933,16398.2773
32,7,1300,256,64,0.95987,11837.9187,4038.207418,977.89188,1.022608,16637.2687
57,7,1000,400,38,0.96009,8998.5271,4740.927988,589.64915,1.695924,13798.9771
57,7,1000,416,38,0.96074,9249.1982,4538.935872,541.623953,1.846299,14052.8982
57,7,1000,432,38,0.96144,9496.7509,4705.305759,612.018196,1.633938,14303.9509
32,7,1000,272,44,0.96153,10000.7764,3992.088932,911.044205,1.097642,14808.4264
32,7,1000,272,46,0.96176,11064.0112,3997.46453,929.493172,1.075855,15872.8112
32,7,1300,272,44,0.96177,10106.691,4040.966892,904.067587,1.106112,14915.541
32,7,1000,272,48,0.96185,11723.4938,1854.930141,911.437291,1.097168,16532.7438
32,7,1000,288,42,0.9619,8931.2248,4018.99226,910.340311,1.09849,13740.7248
32,7,1000,272,50,0.96192,12072.7601,4041.843798,906.947266,1.1026,16882.3601
32,7,1000,272,64,0.96193,12321.6548,4193.661553,911.02262,1.097668,17131.3048
32,7,1300,288,42,0.96205,9013.0724,1987.516223,887.52728,1.126726,13823.3224
57,7,1000,448,38,0.96205,9739.9725,4541.101838,583.628074,1.71342,14550.2225
32,7,1300,272,46,0.96233,11191.8265,3889.665404,903.048461,1.10736,16003.4765
32,7,1300,272,48,0.96243,11865.3496,3971.738509,699.543102,1.429504,16677.4996
32,7,1300,272,50,0.96247,12223.1428,2904.15483,881.460455,1.134481,17035.4928
32,7,1300,272,64,0.96248,12478.7572,3904.173983,881.635252,1.134256,17291.1572
57,7,1000,464,38,0.96257,9979.3889,2020.663506,572.926906,1.745423,14792.2389
57,7,1000,480,38,0.96322,10215.7531,4511.233112,561.427131,1.781175,15031.8531
57,7,1000,496,38,0.96382,10448.8608,2033.873007,537.404407,1.860796,15267.9608
32,7,1000,304,42,0.96392,9324.9369,4171.942771,859.077435,1.164039,14144.5369
32,7,1300,304,42,0.9641,9412.8284,3924.784167,878.045597,1.138893,14233.3284
32,7,1000,288,44,0.96416,10486.6463,5164.713609,835.987526,1.19619,15307.4463
57,7,1000,512,38,0.96431,10679.3199,4694.408533,533.244745,1.875311,15500.8699
32,7,1000,288,46,0.96453,11615.0845,4352.006164,854.644751,1.170077,16437.7345
32,7,1300,288,44,0.96459,10598.9688,3942.503326,844.083414,1.184717,15421.9188
32,7,1000,288,48,0.96469,12315.442,4020.427925,860.991838,1.161451,17138.892
32,7,1000,288,50,0.96473,12687.6253,1994.402167,857.312511,1.166436,17511.2753
32,7,1000,288,64,0.96474,12953.2771,3971.593822,854.392855,1.170422,17776.9771
32,7,1300,288,46,0.96504,11748.662,3902.197787,840.52256,1.189736,16573.862
32,7,1300,288,48,0.96504,12463.9566,4153.057913,816.447095,1.224819,17289.1566
32,7,1300,288,64,0.96508,13117.9578,2329.472311,793.842811,1.259695,17943.3578
32,7,1300,288,50,0.96509,12845.0228,4118.132585,795.110444,1.257687,17670.4728
40,7,1000,256,42,0.96527,9543.2401,4203.716726,865.590991,1.15528,14369.5901
32,7,1000,320,42,0.96577,9716.0165,4028.931149,833.427826,1.199864,14544.8665
40,7,1300,256,42,0.96602,9717.7737,5204.001087,821.542696,1.217222,14547.8737
32,7,1300,320,42,0.96609,9807.3355,3823.713899,822.578834,1.215689,14637.7855
32,7,1000,304,44,0.96626,10965.59,3954.655648,842.767954,1.186566,15796.89
32,7,1300,304,44,0.96667,11085.2929,3918.267698,830.312557,1.204366,15918.6429
32,7,1000,304,46,0.96668,12157.9174,3955.46162,831.406224,1.202781,16991.3174
32,7,1000,304,48,0.96677,12899.6828,3957.588152,664.928807,1.50392,17733.5328
32,7,1000,304,50,0.96683,13294.9483,4551.44456,825.350867,1.211606,18129.0983
32,7,1000,304,64,0.96685,13577.6423,4024.787845,830.318501,1.204357,18411.8923
32,7,1300,304,46,0.96706,12301.1993,3876.210807,801.525733,1.247621,17136.4993
32,7,1300,304,48,0.96708,13059.0264,3946.330146,808.075471,1.237508,17894.4264
32,7,1300,304,50,0.96718,13463.0305,3997.86516,823.793059,1.213897,18298.9305
32,7,1300,304,64,0.96719,13753.6596,4063.205601,808.816884,1.236374,18589.6096
32,7,1000,336,42,0.96746,10101.1674,3980.989432,806.547618,1.239852,14938.4674
40,7,1000,272,42,0.9677,10022.7651,4165.27178,788.07982,1.268907,14861.2651
32,7,1300,336,42,0.96776,10197.434,2312.301605,798.984781,1.251588,15036.234
40,7,1000,256,44,0.9679,11298.0825,4200.540001,834.747981,1.197966,16137.5825
32,7,1000,320,44,0.96808,11441.4856,3976.183061,798.731564,1.251985,16281.8856
40,7,1000,256,46,0.96845,12582.8119,4249.554616,806.437355,1.240022,17425.0619
32,7,1000,320,46,0.9685,12698.1812,1989.635256,799.868881,1.250205,17540.6812
40,7,1300,272,42,0.96862,10204.0061,4265.189502,767.194697,1.30345,15047.1061
32,7,1300,320,44,0.96862,11565.6982,4016.206129,626.704751,1.595648,16408.7982
32,7,1000,320,48,0.96865,13482.8621,4031.75804,786.168163,1.271992,18326.1121
40,7,1300,256,44,0.96866,11510.5446,4359.581601,779.223306,1.283329,16353.8446
40,7,1000,256,48,0.96867,13391.4337,2045.095465,815.885879,1.225662,18234.7837
40,7,1000,256,64,0.96869,14137.2581,5111.254033,781.789754,1.279116,18980.7081
40,7,1000,256,50,0.9687,13824.5331,4288.438481,620.454569,1.611722,18668.0331
32,7,1000,320,50,0.96874,13900.9918,4022.466022,785.475231,1.273115,18744.6918
32,7,1000,320,64,0.96874,14201.0128,3995.026428,762.791883,1.310974,19044.7128
32,7,1300,320,46,0.96906,12846.6085,4690.075254,770.495268,1.297867,17691.9085
32,7,1000,352,42,0.96908,10483.2724,3990.296157,617.024398,1.620681,15328.6724
32,7,1300,320,48,0.96908,13647.3446,4002.101425,780.765814,1.280794,18492.7446
40,7,1300,256,46,0.96915,12826.2811,4366.28013,793.013826,1.261012,17672.0311
32,7,1300,320,50,0.96915,14075.4034,3892.836605,789.513494,1.266603,18921.1534
32,7,1300,320,64,0.96915,14383.6766,3868.84452,791.266248,1.263797,19229.4266
40,7,1300,256,48,0.96927,13654.109,4601.422738,783.578741,1.276196,18500.459
40,7,1300,256,64,0.9693,14420.2269,4345.357859,798.518051,1.25232,19266.7269
40,7,1300,256,50,0.96931,14098.568,4181.908706,779.270916,1.283251,18945.118
32,7,1300,352,42,0.96957,10584.2704,2284.93112,730.475026,1.368972,15432.1204
32,7,1000,336,44,0.96986,11911.4319,4012.340972,764.879554,1.307395,16760.7319
40,7,1000,288,42,0.96998,10494.5401,4299.424344,742.460208,1.346874,15344.4401
40,7,1000,272,44,0.97032,11882.3992,4205.879203,738.472466,1.354147,16733.9992
32,7,1000,336,46,0.97034,13232.3386,4018.961065,756.912093,1.321157,18084.0386
32,7,1300,336,44,0.97039,12041.6693,4130.687887,772.487047,1.29452,16893.6193
32,7,1000,336,48,0.97045,14057.9229,570.888939,769.026527,1.300345,18910.1729
32,7,1000,336,50,0.97051,14499.5189,4140.299039,741.102999,1.34934,19352.0689
32,7,1000,336,64,0.97051,14816.8146,3947.648968,730.233713,1.369425,19669.3646
40,7,1000,272,46,0.97075,13249.5217,4204.618777,738.766679,1.353607,18103.2717
40,7,1300,288,42,0.97076,10684.7163,4508.632099,722.602841,1.383886,15538.5163
32,7,1000,368,42,0.97077,10861.6587,4028.131179,720.030388,1.38883,15715.5087
32,7,1300,336,46,0.97089,13389.1791,3800.868113,735.512968,1.359595,18243.6291
32,7,1300,368,42,0.97092,10965.8747,2183.157713,720.531633,1.387864,15820.4747
40,7,1000,272,48,0.97095,14111.0008,4187.918497,752.672213,1.3286,18965.7508
40,7,1000,272,64,0.97095,14909.085,4113.872077,756.27363,1.322273,19763.835
40,7,1000,272,50,0.97098,14573.7355,4213.622157,771.507752,1.296163,19428.6355
32,7,1300,336,48,0.97099,14231.9657,3991.924487,588.137838,1.700282,19086.9157
32,7,1300,336,64,0.97099,15008.4687,4032.56305,714.595162,1.399394,19863.4187
32,7,1300,336,50,0.97102,14682.6528,4488.964702,742.611527,1.346599,19537.7528
40,7,1300,272,44,0.97114,12107.5332,4266.17164,648.531449,1.541945,16963.2332
32,7,1000,352,44,0.97134,12377.6256,4701.368275,711.488231,1.405505,17234.3256
40,7,1300,272,46,0.97169,13506.7368,4981.299701,735.079143,1.360398,18365.1868
40,7,1300,272,64,0.9718,15208.8032,4361.596188,742.570709,1.346673,20067.8032
40,7,1300,272,48,0.97181,14389.4403,4489.719668,741.916132,1.347861,19248.4903
32,7,1000,352,46,0.97184,13762.8601,4020.574591,699.195261,1.430216,18622.0601
40,7,1300,272,50,0.97184,14864.288,2148.658356,737.420992,1.356077,19723.488
40,7,1000,304,42,0.97191,10961.2544,4162.272967,587.781765,1.701312,15820.8044
32,7,1000,352,48,0.97198,14630.9898,1723.56904,702.802219,1.422875,19490.8898
32,7,1300,352,44,0.972,12513.4562,4055.575582,717.193545,1.394324,17373.4562
32,7,1000,352,50,0.97207,15095.2437,4033.158229,726.155768,1.377115,19955.5937
32,7,1000,352,64,0.97208,15430.4024,3972.197238,706.78603,1.414855,20290.8024
32,7,1000,384,42,0.97212,11236.1511,4024.499725,699.220941,1.430163,16096.7511
32,7,1300,384,42,0.97236,11345.0488,3917.937319,673.877103,1.48395,16206.8488
40,7,1000,288,44,0.97237,12461.7713,4308.620209,702.715278,1.423051,17323.6213
40,7,1300,304,42,0.97255,11160.5657,4352.434191,683.145813,1.463816,16023.3157
32,7,1300,352,46,0.97266,13925.8068,3830.23754,700.855639,1.426827,18789.1068
32,7,1000,368,44,0.97268,12840.1729,4043.045289,682.924384,1.464291,17703.5729
32,7,1300,352,48,0.97268,14811.6754,2010.235283,696.629225,1.435484,19675.0754
32,7,1300,352,50,0.97273,15286.6364,3906.39783,688.996044,1.451387,20150.2864
32,7,1300,352,64,0.97273,15630.2654,4937.18283,651.387322,1.535185,20493.9154
40,7,1000,288,46,0.97294,13910.1263,4409.531759,706.969284,1.414489,18774.8263
40,7,1000,288,48,0.97305,14823.8557,4075.037497,719.131697,1.390566,19689.1057
40,7,1000,288,64,0.9731,15673.8189,4381.801492,717.998573,1.39276,20539.3189
40,7,1000,288,50,0.97311,15316.1106,4221.825324,726.240235,1.376955,20181.6606
32,7,1000,368,46,0.97325,14290.3838,4647.883637,583.515793,1.71375,19156.6338
32,7,1000,400,42,0.97336,11604.3885,4024.669327,670.536426,1.491343,16471.1885
40,7,1300,288,44,0.97336,12697.0027,2198.658182,679.735455,1.471161,17563.8027
32,7,1300,368,44,0.97337,12980.3513,3854.124825,689.512554,1.4503,17847.2013
32,7,1000,368,48,0.97345,15200.278,4636.645563,676.537121,1.478115,20067.528
32,7,1000,368,64,0.97353,16041.2754,4006.420538,678.465031,1.473915,20908.9254
32,7,1000,368,50,0.97354,15688.1351,4029.5233,683.438934,1.463189,20555.8351
40,7,1000,320,42,0.97363,11422.3224,4133.738779,686.453311,1.456763,16290.4724
32,7,1300,400,42,0.9737,11717.9444,4090.335128,539.534913,1.853448,16586.4444
40,7,1300,288,46,0.97384,14180.2943,4459.776104,669.561601,1.493515,19049.4943
32,7,1300,368,46,0.97394,14458.7853,4194.471023,666.529056,1.50031,19328.4853
32,7,1300,368,48,0.974,15387.7337,1666.624268,668.851359,1.4951,20257.7337
57,7,1000,256,42,0.97401,11912.4113,5321.370244,580.737548,1.721948,16782.4613
40,7,1300,288,48,0.97401,15117.2166,4548.536537,541.107426,1.848062,19987.2666
32,7,1300,368,50,0.97405,15886.3471,4004.853938,690.165978,1.448927,20756.5971
40,7,1300,288,64,0.97405,15990.2607,2130.87411,676.664101,1.477838,20860.5107
40,7,1300,288,50,0.97406,15622.4805,5226.8266,683.751512,1.46252,20492.7805
32,7,1300,368,64,0.97406,16248.1705,4030.070038,676.38962,1.478438,21118.4705
40,7,1300,320,42,0.97419,11629.4346,4296.727844,672.812982,1.486297,16500.3846
32,7,1000,384,44,0.97422,13297.8169,4008.893693,666.243687,1.500952,18168.9169
40,7,1000,304,44,0.9744,13036.009,4887.607344,684.050693,1.46188,17908.009
32,7,1000,416,42,0.9747,11971.5136,4000.463141,649.113076,1.540564,16845.0136
32,7,1000,384,46,0.97471,14812.3324,4057.321005,662.598259,1.50921,19685.8824
32,7,1300,384,44,0.9748,13444.7442,4022.078439,682.213746,1.465816,18318.7442
40,7,1000,304,46,0.97486,14566.0569,4053.997512,678.327861,1.474213,19440.3569
32,7,1000,384,48,0.97486,15764.6692,3995.81411,537.963564,1.858862,20638.9692
32,7,1000,384,50,0.97493,16276.331,4610.935206,653.209819,1.530902,21150.981
57,7,1300,256,42,0.97494,12275.8234,4685.388187,675.505533,1.480373,17150.5234
32,7,1000,384,64,0.97494,16647.2772,3937.470514,664.290133,1.505366,21521.9772
40,7,1000,304,48,0.97497,15533.7524,4241.175233,675.674886,1.480002,20408.6024
40,7,1000,304,64,0.97502,16436.3073,2095.964505,688.843216,1.451709,21311.4073
40,7,1000,304,50,0.97504,16055.8814,4243.061036,667.305388,1.498564,20931.0814
40,7,1000,336,42,0.97505,11877.8897,2213.121593,662.352062,1.509771,16753.1397
32,7,1300,416,42,0.97507,12088.6643,4032.127554,641.81293,1.558086,16964.0143
40,7,1300,304,44,0.97508,13281.0269,4465.609899,654.542093,1.527786,18156.4269
32,7,1300,384,46,0.97525,14987.9321,4021.39469,656.232767,1.52385,19864.1821
32,7,1300,384,48,0.97533,15959.3627,4011.299392,659.23171,1.516917,20836.0127
32,7,1300,384,50,0.97534,16481.9681,3909.589959,652.003312,1.533735,21358.6681
32,7,1300,384,64,0.97534,16862.089,4012.508108,656.34098,1.523598,21738.789
40,7,1300,304,46,0.97553,14848.041,4356.929599,641.971609,1.557701,19725.691
32,7,1000,400,44,0.9756,13751.7543,3949.116567,643.682044,1.553562,18629.7543
40,7,1300,336,42,0.97562,12092.9679,4292.930072,645.181819,1.549951,16971.0679
40,7,1300,304,48,0.97564,15839.5731,4329.617816,639.481415,1.563767,20717.7731
40,7,1300,304,64,0.97571,16766.7507,5165.913128,647.607083,1.544146,21645.3007
40,7,1300,304,50,0.97572,16375.4409,4398.171411,517.679637,1.931697,21254.0409
32,7,1000,432,42,0.97586,12333.8337,4082.592068,613.972123,1.628738,17213.1337
32,7,1000,400,46,0.97597,15330.9345,3984.660566,635.315057,1.574022,20210.7845
57,7,1000,256,44,0.97604,14271.3097,4839.285649,610.271042,1.638616,19151.5097
32,7,1300,400,44,0.97606,13902.9612,4706.869905,639.468542,1.563799,18783.2612
32,7,1000,400,48,0.97613,16325.2355,3994.400222,636.108178,1.57206,21205.8855
40,7,1000,320,44,0.97616,13601.758,4217.441465,548.851455,1.821987,18482.558
57,7,1000,272,42,0.97618,12506.6417,4639.636616,513.082895,1.949003,17387.5417
32,7,1000,400,64,0.97618,17249.3414,4710.804104,631.742286,1.582924,22130.2414
32,7,1300,432,42,0.9762,12455.4,3984.118982,615.059395,1.625859,17336.4
32,7,1000,400,50,0.97621,16860.7015,4116.943812,520.481815,1.921297,21741.7515
57,7,1000,256,46,0.97633,16037.6413,4673.408427,621.734438,1.608404,20919.2913
40,7,1000,352,42,0.97639,12328.3293,4247.310172,608.668723,1.64293,17210.2793
57,7,1000,256,48,0.9765,17169.8075,4485.186329,643.423973,1.554185,22052.3075
57,7,1000,256,50,0.97653,17787.913,4636.46597,645.165652,1.54999,22670.563
57,7,1000,256,64,0.97653,18242.9897,2746.023469,650.715517,1.53677,23125.6397
32,7,1300,400,48,0.97656,16527.4498,3880.284316,624.904892,1.600244,21410.2498
40,7,1000,320,46,0.97657,15215.0298,4899.784084,647.209951,1.545094,20097.8798
32,7,1300,400,46,0.97658,15513.2592,3973.520599,641.259497,1.559431,20396.1592
32,7,1300,400,50,0.97661,17074.2459,3952.345203,619.566,1.614033,21957.2959
32,7,1300,400,64,0.97661,17472.7332,1843.918591,633.955259,1.577398,22355.7832
40,7,1300,320,44,0.97675,13857.9681,4327.390843,650.067446,1.538302,18741.7181
40,7,1000,320,48,0.97682,16235.987,4269.381126,667.457696,1.498222,21120.087
40,7,1000,320,64,0.97682,17191.3716,4184.390551,651.371537,1.535222,22075.4716
40,7,1000,320,50,0.97683,16788.0454,4316.274687,651.463368,1.535006,21672.1954
32,7,1000,448,42,0.97685,12693.2561,4031.32286,604.91683,1.65312,17577.5061
32,7,1000,416,44,0.9769,14203.225,4073.677595,613.099191,1.631057,19087.725
40,7,1300,352,42,0.97691,12551.5848,4315.543025,605.823663,1.650645,17436.1348
57,7,1300,272,42,0.97694,12890.1666,1861.695387,650.403685,1.537507,17774.8666
40,7,1300,320,46,0.97709,15508.2069,4316.419033,636.937485,1.570013,20393.6569
32,7,1000,416,46,0.97718,15846.5246,4111.977512,607.830779,1.645195,20732.4246
32,7,1300,448,42,0.97723,12818.9322,1805.290654,617.319487,1.619907,17705.0822
57,7,1300,256,44,0.97724,14730.5148,2737.879106,556.815345,1.795928,19616.7148
40,7,1300,320,48,0.97725,16555.1969,4367.861786,624.625711,1.600959,21441.4469
32,7,1000,416,48,0.97726,16883.3074,4007.666586,597.601067,1.673357,21769.6074
32,7,1000,416,50,0.9773,17442.6999,4083.322192,595.836381,1.678313,22329.1999
40,7,1300,320,64,0.9773,17536.7356,4325.479282,515.535441,1.939731,22423.2356
40,7,1300,320,50,0.97731,17121.8449,1849.133977,637.098352,1.569616,22008.3949
32,7,1000,416,64,0.97731,17849.9721,4026.188347,484.507443,2.063952,22736.5221
57,7,1300,256,46,0.97743,16572.758,2302.190817,631.359126,1.583885,21459.908
57,7,1300,256,50,0.97758,18402.9974,4730.601514,635.778445,1.572875,23290.8974
57,7,1300,256,48,0.97759,17755.5452,4633.125174,630.144325,1.586938,22643.4952
57,7,1300,256,64,0.97759,18881.7202,4580.95394,628.309814,1.591572,23769.6702
32,7,1300,416,44,0.97763,14359.757,4017.880521,504.291967,1.982978,19247.907
40,7,1000,336,44,0.97773,14163.4504,4273.466793,624.574414,1.60109,19052.1004
32,7,1000,464,42,0.97779,13049.6612,4894.438387,594.97909,1.680731,17938.6112
40,7,1000,368,42,0.97781,12772.501,4185.490912,611.90254,1.634247,17661.551
32,7,1300,416,46,0.97801,16033.8426,4753.13433,577.485443,1.731645,20923.8926
32,7,1300,416,48,0.97809,17092.528,4107.627211,603.485622,1.65704,21982.978
32,7,1300,416,64,0.97813,18080.5862,3913.497643,588.0779,1.700455,22971.2362
32,7,1300,416,50,0.97814,17663.5211,3994.947464,605.820375,1.650654,22554.2211
32,7,1300,464,42,0.97817,13178.9212,4041.423359,596.911756,1.67529,18069.7712
32,7,1000,432,44,0.97819,14648.7679,4074.9699,576.261452,1.735323,19539.7179
40,7,1000,336,46,0.97819,15858.6019,4290.051498,504.164879,1.983478,20749.5519
40,7,1300,336,44,0.97821,14429.6878,4329.403311,609.589217,1.640449,19320.7378
40,7,1300,368,42,0.97828,13004.6972,4936.335044,576.812477,1.733666,17896.0972
57,7,1000,288,42,0.9783,13093.9778,4811.951912,480.101189,2.082894,17985.4778
40,7,1000,336,48,0.9783,16933.4387,4735.379738,597.09183,1.674784,21824.9387
40,7,1000,336,64,0.9783,17942.714,4184.015737,620.184801,1.612423,22834.214
40,7,1000,336,50,0.97833,17516.2625,4244.300002,607.012332,1.647413,22407.9125
57,7,1000,272,44,0.97835,15011.3668,5465.422224,610.528548,1.637925,19903.1168
40,7,1300,336,46,0.97863,16164.3322,4364.805193,604.786334,1.653477,21057.4822
32,7,1000,432,46,0.97868,16358.1328,4016.051874,576.078932,1.735873,21251.5328
32,7,1000,480,42,0.9787,13402.5953,4738.576417,565.891877,1.767122,18296.0953
57,7,1000,272,46,0.97872,16890.7049,4588.101337,608.329834,1.643845,21784.3049
32,7,1000,432,48,0.97873,17436.6508,4018.492128,582.639835,1.716326,22330.3008
32,7,1000,432,50,0.97875,18019.549,3887.058761,562.097736,1.77905,22913.299
32,7,1000,432,64,0.97876,18444.9608,1803.844612,580.650546,1.722206,23338.7608
32,7,1300,432,44,0.97877,14811.696,3839.117037,577.025698,1.733025,19705.546
40,7,1300,336,48,0.97882,17266.3831,4259.088867,614.085723,1.628437,22160.4831
57,7,1300,288,42,0.97883,13494.4842,4591.449158,610.578322,1.637792,18388.6342
57,7,1000,272,48,0.97883,18097.2302,4731.547105,601.63913,1.662126,22991.3802
40,7,1300,336,64,0.97884,18303.2149,4281.809011,603.452767,1.657131,23197.4149
40,7,1300,336,50,0.97886,17864.5728,4343.497902,620.985847,1.610343,22758.8728
57,7,1000,272,64,0.9789,19245.3472,4702.59001,607.284242,1.646675,24139.8472
57,7,1000,272,50,0.97891,18757.6884,2668.043929,607.232154,1.646817,23652.2384
40,7,1000,384,42,0.97899,13214.1946,4207.348813,607.53784,1.645988,18109.1446
32,7,1300,480,42,0.97902,13536.3378,4050.934544,556.768423,1.796079,18431.4378
40,7,1000,352,44,0.97919,14719.0244,4119.432327,603.768139,1.656265,19614.9744
32,7,1000,448,44,0.97919,15092.7745,4006.269049,574.136871,1.741745,19988.7245
57,7,1300,272,44,0.97922,15494.2982,4583.513773,598.661859,1.670392,20390.3982
32,7,1300,432,48,0.97923,17653.5534,4001.729256,575.506258,1.737601,22549.7034
32,7,1300,432,46,0.97925,16552.7699,4942.772635,543.586543,1.839633,21449.0199
32,7,1300,432,50,0.97927,18249.3968,3965.824508,589.051246,1.697645,23145.7468
32,7,1300,432,64,0.97927,18685.1161,3996.723522,597.684964,1.673122,23581.4661
40,7,1300,384,42,0.97951,13452.5843,4990.149767,572.970494,1.745291,18350.1343
57,7,1300,272,46,0.97955,17453.0268,6120.297774,580.820685,1.721702,22350.7768
32,7,1000,496,42,0.97956,13752.5866,4811.830918,582.158661,1.717745,18650.3866
32,7,1000,448,46,0.97961,16866.0877,3982.715672,553.459969,1.806815,21764.1377
40,7,1000,352,46,0.97962,16494.4824,4300.502794,591.963436,1.689294,21392.5824
32,7,1300,448,44,0.97963,15260.4376,3984.921945,573.458276,1.743806,20158.5876
57,7,1300,272,48,0.97967,18714.5416,4805.036311,588.340427,1.699696,23612.8916
40,7,1300,352,44,0.97969,14996.5252,2076.713613,560.716536,1.783432,19894.9752
57,7,1300,272,50,0.97969,19406.1604,4585.637374,604.370553,1.654614,24304.6104
57,7,1300,272,64,0.97969,19919.296,4553.75876,594.527653,1.682008,24817.746
32,7,1000,448,48,0.97972,17988.8404,3963.973837,562.513635,1.777735,22887.4404
40,7,1000,352,48,0.97973,17624.7747,4089.893187,492.528851,2.030338,22523.4247
40,7,1000,352,64,0.97973,18688.1071,4219.240664,610.313079,1.638503,23586.7571
32,7,1000,448,64,0.97973,19039.6416,4146.906882,577.158565,1.732626,23938.2916
40,7,1000,352,50,0.97974,18238.2343,4777.298814,587.775985,1.701328,23136.9343
